input	score	concept_id	concept_name	concept_type
Sensory Processing Disorder	827	C0012634	Disorder (Disease)	Disease or Syndrome
Sensory Processing Disorder	913	C0152027	Sensory disorder (Sensory Disorders)	Disease or Syndrome
Sentinel Lymph Node Biopsy	545	C0751781	NOD (Dentatorubral-Pallidoluysian Atrophy)	Disease or Syndrome
Sentinel Lymph Node Biopsy	756	C0677944	sentinel lymph node (Sentinel node (disorder))	Disease or Syndrome
Sentinel Lymph Node Biopsy	545	C0524631	Lymphatism	Disease or Syndrome
Sentinel Node	1000	C0677944	Sentinel node (Sentinel node (disorder))	Disease or Syndrome
Sentinel Node	761	C0751781	NOD (Dentatorubral-Pallidoluysian Atrophy)	Disease or Syndrome
Separation Anxiety Disorder	827	C0012634	Disorder (Disease)	Disease or Syndrome
Sepsis	1000	C0243026	Sepsis (Systemic infection)	Disease or Syndrome
Sepsis	1000	C0036690	Sepsis (Septicemia)	Disease or Syndrome
Sepsis - to Reduce Mortality in the Intensive Care Unit	861	C0243026	Sepsis (Systemic infection)	Disease or Syndrome
Sepsis - to Reduce Mortality in the Intensive Care Unit	861	C0036690	Sepsis (Septicemia)	Disease or Syndrome
Sepsis of the Newborn	1000	C0243026	Sepsis (Systemic infection)	Disease or Syndrome
Sepsis of the Newborn	1000	C0036690	Sepsis (Septicemia)	Disease or Syndrome
Sepsis Syndrome	1000	C0242966	Sepsis Syndrome (Systemic Inflammatory Response Syndrome)	Disease or Syndrome
Sepsis Syndrome	861	C0243026	Sepsis (Systemic infection)	Disease or Syndrome
Sepsis Syndrome	861	C0036690	Sepsis (Septicemia)	Disease or Syndrome
Sepsis Syndrome	861	C0039082	Syndrome	Disease or Syndrome
Sepsis Syndromes	861	C0243026	Sepsis (Systemic infection)	Disease or Syndrome
Sepsis Syndromes	1000	C0242966	Syndromes, Sepsis (Systemic Inflammatory Response Syndrome)	Disease or Syndrome
Sepsis Syndromes	861	C0039082	Syndromes (Syndrome)	Disease or Syndrome
Sepsis Syndromes	861	C0036690	Sepsis (Septicemia)	Disease or Syndrome
Sepsis, Septic Shock	789	C0036690	Sepsis (Septicemia)	Disease or Syndrome
Sepsis, Septic Shock	1000	C0243026	Sepsis (Systemic infection)	Disease or Syndrome
Sepsis, Septic Shock	1000	C0036690	Sepsis (Septicemia)	Disease or Syndrome
Sepsis, Septic Shock	789	C0243026	Sepsis (Systemic infection)	Disease or Syndrome
Sepsis, Trauma.	1000	C0243026	Sepsis (Systemic infection)	Disease or Syndrome
Sepsis, Trauma.	1000	C0036690	Sepsis (Septicemia)	Disease or Syndrome
Sepsis-associated Hypotension	660	C0243026	Sepsis (Systemic infection)	Disease or Syndrome
Sepsis-associated Hypotension	660	C0036690	Sepsis (Septicemia)	Disease or Syndrome
Septal Defect, Atrial	861	C1861101	DEFECT (THYROID HORMONE PLASMA MEMBRANE TRANSPORT DEFECT)	Disease or Syndrome
Septic	928	C0243026	Sepsis (Systemic infection)	Disease or Syndrome
Septic	928	C0036690	Sepsis (Septicemia)	Disease or Syndrome
Septic Abortion	789	C0036690	Sepsis (Septicemia)	Disease or Syndrome
Septic Abortion	789	C0243026	Sepsis (Systemic infection)	Disease or Syndrome
Septic Arthritis	1000	C1692886	Arthritis, Septic (Arthritis, Bacterial)	Disease or Syndrome
Septic Arthritis	861	C0003864	Arthritis	Disease or Syndrome
Septic Arthritis	768	C0018099	Gout	Disease or Syndrome
Septic Arthritis	789	C0036690	Sepsis (Septicemia)	Disease or Syndrome
Septic Arthritis	1000	C0003874	Septic arthritis (Acute suppurative arthritis due to bacteria)	Disease or Syndrome
Septic Arthritis	789	C0243026	Sepsis (Systemic infection)	Disease or Syndrome
Septic Shock	789	C0036690	Sepsis (Septicemia)	Disease or Syndrome
Septic Shock	789	C0243026	Sepsis (Systemic infection)	Disease or Syndrome
Septicemia	1000	C0036690	Septicaemia (Septicemia)	Disease or Syndrome
Septo-Optic Dysplasia	827	C0334044	Dysplasia	Neoplastic Process
Sequelae of Viral Hepatitis	861	C0019159	hepatitis (Hepatitis A)	Disease or Syndrome
Sequelae of Viral Hepatitis	1000	C0042721	Viral hepatitis	Disease or Syndrome
Sequelae of Viral Hepatitis	861	C0019158	Hepatitis	Disease or Syndrome
Serious Fungal Infections	901	C0026946	Fungal infections (Mycoses)	Disease or Syndrome
Serious Fungal Infections	827	C0021311	Infections (Infection)	Disease or Syndrome
Serious Gram-positive Infections	812	C0021311	Infections (Infection)	Disease or Syndrome
Serious Mental Illness	755	C0231218	Ill (Malaise)	Sign or Symptom
Serious Systemic Infections	901	C0243026	Systemic infections (Systemic infection)	Disease or Syndrome
Serious Systemic Infections	827	C0021311	Infections (Infection)	Disease or Syndrome
Serogroup C Meningococcal Diseases	861	C0025303	Meningococcal diseases (Meningococcal Infections)	Disease or Syndrome
Serogroup C Meningococcal Diseases	812	C0012634	Diseases (Disease)	Disease or Syndrome
Seronegative Spondyloarthropathies	861	C0949691	spondyloarthropathies (Spondylarthropathies)	Disease or Syndrome
Serotonin Syndrome	1000	C0024586	Serotonin syndrome (Malignant Carcinoid Syndrome)	Disease or Syndrome
Serotonin Syndrome	861	C0039082	Syndrome	Disease or Syndrome
Serous Carcinoma	861	C0007097	Carcinoma	Neoplastic Process
Serous Carcinoma	761	C0858970	carcinogenicity	Neoplastic Process
Serous Carcinoma	1000	C0206701	Serous carcinoma (Cystadenocarcinoma, Serous)	Neoplastic Process
Serous Papillary Endometrial Cancer	861	C0007103	endometrial cancer (Malignant neoplasm of endometrium)	Neoplastic Process
Serous Papillary Endometrial Cancer	861	C1883486	Endometrial Cancer (Uterine Corpus Cancer)	Neoplastic Process
Serous Papillary Endometrial Cancer	861	C0476089	Endometrial Cancer (Endometrial Carcinoma)	Neoplastic Process
Serous Papillary Endometrial Cancer	812	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
Serpiginous Choroiditis	1000	C0729842	Serpiginous choroiditis	Disease or Syndrome
Serpiginous Choroiditis	861	C0008526	Choroiditis	Disease or Syndrome
Sertoli-Leydig Tumor	827	C0027651	Tumor (Neoplasms)	Neoplastic Process
Severe Acne Vulgaris	827	C0702166	Acne	Disease or Syndrome
Severe Acne Vulgaris	901	C0001144	Acne Vulgaris	Disease or Syndrome
Severe Acute Cardiogenic Pulmonary Edema	875	C0333240	Acute edema	Sign or Symptom
Severe Acute Cardiogenic Pulmonary Edema	888	C0155919	Acute pulmonary edema	Disease or Syndrome
Severe Acute Cardiogenic Pulmonary Edema	840	C0034063	Pulmonary Edema	Disease or Syndrome
Severe Acute Cardiogenic Pulmonary Edema	937	C0398350	Acute cardiogenic pulmonary edema (Acute cardiac pulmonary edema)	Disease or Syndrome
Severe Acute Kidney Failure	923	C0022660	Kidney Failure, Acute	Disease or Syndrome
Severe Acute Kidney Failure	861	C0341697	kidney failure (Renal impairment)	Disease or Syndrome
Severe Acute Kidney Failure	861	C0035078	Kidney Failure	Disease or Syndrome
Severe Acute Kidney Failure	814	C0268733	Acute nephritis	Disease or Syndrome
Severe Acute Kidney Failure	719	C0027697	Nephritides (Nephritis)	Disease or Syndrome
Severe Acute Malnutrition	827	C0162429	Malnutrition	Disease or Syndrome
Severe Acute Malnutrition	913	C0311276	Severe malnutrition	Disease or Syndrome
Severe Acute Mucositis	901	C1290073	Acute mucositis	Disease or Syndrome
Severe Acute Pancreatitis	901	C0001339	Acute pancreatitis	Disease or Syndrome
Severe Acute Pancreatitis	827	C0030305	Pancreatitis	Disease or Syndrome
Severe Acute Respiratory Distress Syndrome	804	C0039082	Syndrome	Disease or Syndrome
Severe Acute Respiratory Distress Syndrome	840	C0476273	Respiratory distress	Sign or Symptom
Severe Acute Respiratory Distress Syndrome	933	C1175175	Severe Acute Respiratory Syndrome	Disease or Syndrome
Severe Acute Respiratory Distress Syndrome	884	C1704437	Respiratory Distress Syndrome	Disease or Syndrome
Severe Acute Respiratory Distress Syndrome	884	C0035220	respiratory distress syndrome (Respiratory Distress Syndrome, Newborn)	Disease or Syndrome
Severe Acute Respiratory Distress Syndrome	884	C0748355	Acute respiratory distress	Disease or Syndrome
Severe Acute Respiratory Distress Syndrome	937	C0035222	Respiratory Distress Syndrome, Acute (Respiratory Distress Syndrome, Adult)	Disease or Syndrome
Severe Acute Respiratory Illness	741	C0231218	Ill (Malaise)	Sign or Symptom
Severe Acute Respiratory Syndrome	1000	C1175175	Severe Acute Respiratory Syndrome	Disease or Syndrome
Severe Acute Respiratory Syndrome	812	C0039082	Syndrome	Disease or Syndrome
Severe Adult Growth Hormone Deficiency	840	C0599750	hormone deficiency	Disease or Syndrome
Severe Adult Growth Hormone Deficiency	937	C1720505	Adult growth hormone deficiency	Disease or Syndrome
Severe Adult Growth Hormone Deficiency	804	C0162429	Deficiency (Malnutrition)	Disease or Syndrome
Severe Adult Growth Hormone Deficiency	884	C0271561	Growth hormone deficiency (Somatotropin deficiency)	Disease or Syndrome
Severe Allergic Asthma	827	C0004096	Asthma	Disease or Syndrome
Severe Allergic Asthma	901	C0155877	Allergic asthma	Disease or Syndrome
Severe Alzheimer's Disease	901	C0002395	Alzheimer's Disease	Disease or Syndrome
Severe Alzheimer's Disease	827	C0012634	Disease	Disease or Syndrome
Severe and Moderate Malnutrition	861	C0162429	Malnutrition	Disease or Syndrome
Severe and Recurrent Endometriosis	861	C0014175	Endometriosis (Endometriosis, site unspecified)	Disease or Syndrome
Severe and Recurrent Endometriosis	623	C1458156	recurrence (Recurrent Malignant Neoplasm)	Neoplastic Process
Severe Aortic Stenosis	901	C0003507	Aortic Stenosis (Aortic Valve Stenosis)	Disease or Syndrome
Severe Aortic Valve Stenosis	923	C0003507	Aortic Valve Stenosis	Disease or Syndrome
Severe Aortic Valve Stenosis	825	C1883524	Valvular Stenosis	Disease or Syndrome
Severe Aplastic Anemia	901	C0002874	Aplastic Anemia	Disease or Syndrome
Severe Aplastic Anemia	1000	C1883018	Severe Aplastic Anemia	Disease or Syndrome
Severe Aplastic Anemia	827	C0002871	Anaemia (Anemia)	Disease or Syndrome
Severe Aplastic Anemia	913	C0238644	ANEMIA, SEVERE	Disease or Syndrome
Severe Aplastic Anemia (SAA)	901	C0002874	Aplastic Anemia	Disease or Syndrome
Severe Aplastic Anemia (SAA)	1000	C1883018	Severe Aplastic Anemia	Disease or Syndrome
Severe Aplastic Anemia (SAA)	827	C0002871	Anaemia (Anemia)	Disease or Syndrome
Severe Aplastic Anemia (SAA)	913	C0238644	ANEMIA, SEVERE	Disease or Syndrome
Severe Asthma	861	C0004096	Asthma	Disease or Syndrome
Severe Atopic Dermatitis	827	C0011603	Dermatitis	Disease or Syndrome
Severe Atopic Dermatitis	901	C0011615	Dermatitis, Atopic	Disease or Syndrome
Severe Atrophy of the Edentulous Mandible	789	C0151514	Atrophic (Atrophic condition of skin)	Disease or Syndrome
Severe Behavior Disorder	827	C0012634	Disorder (Disease)	Disease or Syndrome
Severe Biventricular End Stage Heart Disease	799	C0012634	Disease	Disease or Syndrome
Severe Biventricular End Stage Heart Disease	901	C0919984	end stage heart disease	Disease or Syndrome
Severe Biventricular End Stage Heart Disease	827	C0018799	Heart disease (Heart Diseases)	Disease or Syndrome
Severe Biventricular End Stage Heart Disease	867	C0679247	end stage disease (Terminal illness)	Disease or Syndrome
Severe Caner Pain	827	C0030193	Pain	Sign or Symptom
Severe Caner Pain	913	C0278140	Severe pain	Sign or Symptom
Severe Chronic Neutropenia	1000	C2931027	Neutropenia, severe chronic	Disease or Syndrome
Severe Chronic Neutropenia	901	C0746882	chronic neutropenia (neutropenia chronic)	Disease or Syndrome
Severe Chronic Neutropenia	827	C0027947	Neutropenia	Disease or Syndrome
Severe Chronic Pain	901	C0150055	Chronic pain	Disease or Syndrome
Severe Chronic Pain	913	C0278140	Severe pain	Sign or Symptom
Severe Chronic Pain	827	C0030193	Pain	Sign or Symptom
Severe Combined Immunodeficiencies (SCID)	901	C0494261	Combined immunodeficiencies (Congenital Combined Immunodeficiency)	Disease or Syndrome
Severe Combined Immunodeficiencies (SCID)	1000	C0085110	Severe Combined Immunodeficiencies (Severe Combined Immunodeficiency)	Disease or Syndrome
Severe Combined Immunodeficiencies (SCID)	827	C0021051	immunodeficiencies (Immunologic Deficiency Syndromes)	Disease or Syndrome
Severe Combined Immunodeficiency	827	C0021051	IMMUNO-DEFICIENCY (Immunologic Deficiency Syndromes)	Disease or Syndrome
Severe Combined Immunodeficiency	901	C0494261	combined immunodeficiency (Congenital Combined Immunodeficiency)	Disease or Syndrome
Severe Combined Immunodeficiency	1000	C0085110	Severe Combined Immunodeficiency	Disease or Syndrome
Severe Combined Immunodeficiency Disease	861	C0494261	combined immunodeficiency (Congenital Combined Immunodeficiency)	Disease or Syndrome
Severe Combined Immunodeficiency Disease	812	C0012634	Disease	Disease or Syndrome
Severe Combined Immunodeficiency Disease	1000	C0085110	Severe combined immunodeficiency disease (Severe Combined Immunodeficiency)	Disease or Syndrome
Severe Combined Immunodeficiency Disease	923	C2711630	Combined immunodeficiency disease	Disease or Syndrome
Severe Combined Immunodeficiency Disease	861	C0021051	Immunodeficiency disease (Immunologic Deficiency Syndromes)	Disease or Syndrome
Severe Combined Immunodeficiency Syndrome	923	C0494261	combined immunodeficiency syndrome (Congenital Combined Immunodeficiency)	Disease or Syndrome
Severe Combined Immunodeficiency Syndrome	861	C0021051	Immunodeficiency Syndrome (Immunologic Deficiency Syndromes)	Disease or Syndrome
Severe Combined Immunodeficiency Syndrome	1000	C0085110	Severe Combined Immunodeficiency Syndrome (Severe Combined Immunodeficiency)	Disease or Syndrome
Severe Combined Immunodeficiency Syndrome	812	C0039082	Syndrome	Disease or Syndrome
Severe Communtity-Acquired Pneumonia	812	C0032285	Pneumonia	Disease or Syndrome
Severe Congenital Neutropenia	827	C0027947	Neutropenia	Disease or Syndrome
Severe Congenital Neutropenia	1000	C1853118	Severe congenital neutropenia	Disease or Syndrome
Severe Congenital Protein C Deficiency	853	C0033626	Protein Deficiency	Disease or Syndrome
Severe Congenital Protein C Deficiency	804	C0162429	Deficiency (Malnutrition)	Disease or Syndrome
Severe Congenital Protein C Deficiency	884	C0398625	Protein C Deficiency	Disease or Syndrome
Severe Congestive Heart Failure	861	C0018801	Heart failure	Disease or Syndrome
Severe Congestive Heart Failure	923	C0018802	Congestive heart failure	Disease or Syndrome
Severe Coronary Artery Disease	923	C0010068	Coronary (artery) disease (Coronary heart disease)	Disease or Syndrome
Severe Coronary Artery Disease	861	C0852949	artery disease (Arteriopathic disease)	Disease or Syndrome
Severe Coronary Artery Disease	812	C0012634	Disease	Disease or Syndrome
Severe Coronary Artery Disease	923	C1956346	Coronary Artery Disease	Disease or Syndrome
Severe Coronary Artery Disease	923	C0010054	coronary artery disease (Coronary Arteriosclerosis)	Disease or Syndrome
Severe Coronary Artery Disease (S-CAD)	923	C0010068	Coronary (artery) disease (Coronary heart disease)	Disease or Syndrome
Severe Coronary Artery Disease (S-CAD)	861	C0852949	artery disease (Arteriopathic disease)	Disease or Syndrome
Severe Coronary Artery Disease (S-CAD)	812	C0012634	Disease	Disease or Syndrome
Severe Coronary Artery Disease (S-CAD)	923	C1956346	Coronary Artery Disease	Disease or Syndrome
Severe Coronary Artery Disease (S-CAD)	923	C0010054	coronary artery disease (Coronary Arteriosclerosis)	Disease or Syndrome
Severe Crohn's Disease	901	C0010346	Crohn Disease	Disease or Syndrome
Severe Crohn's Disease	827	C0012634	Disease	Disease or Syndrome
Severe Diabetic Retinopathy	827	C0035309	Retinopathy (Retinal Diseases)	Disease or Syndrome
Severe Diabetic Retinopathy	901	C0011884	Diabetic Retinopathy	Disease or Syndrome
Severe Dyspnea	861	C0013404	Dyspnea	Sign or Symptom
Severe Falciparum Malaria	827	C0024530	Malaria	Disease or Syndrome
Severe Falciparum Malaria	901	C0024535	Malaria, Falciparum	Disease or Syndrome
Severe Hemophilia A	1000	C0272322	Severe haemophilia A (Severe hereditary factor VIII deficiency disease)	Disease or Syndrome
Severe Hemophilia A	827	C0684275	Haemophilia (Hemophilia, NOS)	Disease or Syndrome
Severe Hemophilia A	901	C0019069	Haemophilia A (Hemophilia A)	Disease or Syndrome
Severe Hemophilia A With an Inhibitor	1000	C0272322	Severe haemophilia A (Severe hereditary factor VIII deficiency disease)	Disease or Syndrome
Severe Hemophilia A With an Inhibitor	827	C0684275	Haemophilia (Hemophilia, NOS)	Disease or Syndrome
Severe Hemophilia A With an Inhibitor	901	C0019069	Haemophilia A (Hemophilia A)	Disease or Syndrome
Severe Hemophilia B	901	C0008533	Haemophilia B (Hemophilia B)	Disease or Syndrome
Severe Hemophilia B	827	C0684275	Haemophilia (Hemophilia, NOS)	Disease or Syndrome
Severe Hemophilia B	827	C0019069	Haemophilia (Hemophilia A)	Disease or Syndrome
Severe Hepatic Veno Occlusive Disease	804	C0012634	Disease	Disease or Syndrome
Severe Hepatic Veno Occlusive Disease	884	C0948441	veno-occlusive disease (Venoocclusive disease)	Disease or Syndrome
Severe Hepatic Veno Occlusive Disease	937	C0019156	Hepatic Veno-Occlusive Disease	Disease or Syndrome
Severe Hepatic Veno Occlusive Disease	875	C0023895	HEPATIC DISEASE (NOS) (Liver diseases)	Disease or Syndrome
Severe Hyperglycemia	861	C0020456	Hyperglycaemia (Hyperglycemia)	Disease or Syndrome
Severe Hyperglycemia - Blood Glucose Level >300mg/dl.	637	C0020456	Hyperglycaemia (Hyperglycemia)	Disease or Syndrome
Severe Immunodeficiency Diseases	867	C0021051	Immunodeficiency disease (Immunologic Deficiency Syndromes)	Disease or Syndrome
Severe Immunodeficiency Diseases	827	C0012634	Diseases (Disease)	Disease or Syndrome
Severe Influenza	861	C0021400	Influenza	Disease or Syndrome
Severe Intermittent Claudication	827	C1456822	Claudication (Claudication (finding))	Disease or Syndrome
Severe Intermittent Claudication	901	C0021775	Intermittent Claudication	Disease or Syndrome
Severe Leg Ischemia	827	C0022116	Ischaemia (Ischemia)	Disease or Syndrome
Severe Malaria	861	C0024530	Malaria	Disease or Syndrome
Severe Malnutrition	861	C0162429	Malnutrition	Disease or Syndrome
Severe Malnutrition	1000	C0311276	Severe malnutrition	Disease or Syndrome
Severe Mental Illness	755	C0231218	Ill (Malaise)	Sign or Symptom
Severe Motor Fluctuations	827	C0231239	fluctuations (Fluctuation)	Sign or Symptom
Severe Motor Fluctuations	721	C0949036	fluctuance	Disease or Syndrome
Severe Necrotizing Skin and Soft Tissue Infections	1000	C0149778	Soft Tissue Infections	Disease or Syndrome
Severe Necrotizing Skin and Soft Tissue Infections	827	C0021311	Infections (Infection)	Disease or Syndrome
Severe Nodular Acne	827	C0001144	Acne (Acne Vulgaris)	Disease or Syndrome
Severe Nodular Acne	827	C0702166	Acne	Disease or Syndrome
Severe Nodular Acne	901	C1274727	Nodular acne (Acne nodule)	Disease or Syndrome
Severe Obesity	1000	C0028756	OBESITY, SEVERE (Obesity, Morbid)	Disease or Syndrome
Severe Obesity	861	C0028754	Obesity	Disease or Syndrome
Severe Peripheral Artery Occlusive Disease.	853	C0852949	artery disease (Arteriopathic disease)	Disease or Syndrome
Severe Peripheral Artery Occlusive Disease.	888	C1704436	Peripheral Artery Disease (Peripheral Arterial Diseases)	Disease or Syndrome
Severe Peripheral Artery Occlusive Disease.	804	C0012634	Disease	Disease or Syndrome
Severe Peripheral Artery Occlusive Disease.	860	C0003838	Arterial occlusive disease (Arterial Occlusive Diseases)	Disease or Syndrome
Severe Peripheral Artery Occlusive Disease.	865	C0085096	peripheral arterial disease (Peripheral Vascular Diseases)	Disease or Syndrome
Severe Peripheral Artery Occlusive Disease.	919	C1306889	Peripheral arterial occlusive disease	Disease or Syndrome
Severe Persistent Asthma	1000	C1960048	Severe persistent asthma	Disease or Syndrome
Severe Persistent Asthma	827	C0004096	Asthma	Disease or Syndrome
Severe Persistent Asthma	901	C3266628	Persistent asthma	Disease or Syndrome
Severe Pneumonia	861	C0032285	Pneumonia	Disease or Syndrome
Severe Primary Immunodeficiency Disorder	861	C0021051	Immunodeficiency disorder (Immunologic Deficiency Syndromes)	Disease or Syndrome
Severe Primary Immunodeficiency Disorder	858	C0277554	primary disorders (Primary disease)	Disease or Syndrome
Severe Primary Immunodeficiency Disorder	694	C0398686	Primary immunodeficiency (Primary immune deficiency disorder)	Disease or Syndrome
Severe Primary Immunodeficiency Disorder	812	C0012634	Disorder (Disease)	Disease or Syndrome
Severe Renal Disease	827	C0012634	Disease	Disease or Syndrome
Severe Renal Disease	901	C0022658	Renal disease (Kidney Diseases)	Disease or Syndrome
Severe Renal Impairment	901	C0341697	Renal impairment	Disease or Syndrome
Severe Respiratory Disease	901	C0035204	Respiratory disease (Respiration Disorders)	Disease or Syndrome
Severe Respiratory Disease	827	C0012634	Disease	Disease or Syndrome
Severe Respiratory Disease	901	C0035242	respiratory disease (Respiratory Tract Diseases)	Disease or Syndrome
Severe Respiratory Syncytial Virus Infection	888	C0729531	respiratory virus infection (Viral respiratory infection)	Disease or Syndrome
Severe Respiratory Syncytial Virus Infection	937	C0035235	Respiratory syncytial virus infection (Respiratory Syncytial Virus Infections)	Disease or Syndrome
Severe Respiratory Syncytial Virus Infection	804	C0021311	Infection	Disease or Syndrome
Severe Respiratory Syncytial Virus Infection	840	C0042769	virus infection (Virus Diseases)	Disease or Syndrome
Severe Respiratory Syncytial Virus Infection	875	C0035243	Respiratory infection (Respiratory Tract Infections)	Disease or Syndrome
Severe Sepsis	861	C0243026	Sepsis (Systemic infection)	Disease or Syndrome
Severe Sepsis	861	C0036690	Sepsis (Septicemia)	Disease or Syndrome
Severe Sepsis	1000	C1719672	Severe Sepsis	Disease or Syndrome
Severe Sepsis and Septic Shock	861	C0243026	Sepsis (Systemic infection)	Disease or Syndrome
Severe Sepsis and Septic Shock	789	C0036690	Sepsis (Septicemia)	Disease or Syndrome
Severe Sepsis and Septic Shock	861	C0036690	Sepsis (Septicemia)	Disease or Syndrome
Severe Sepsis and Septic Shock	1000	C1719672	Severe Sepsis	Disease or Syndrome
Severe Sepsis and Septic Shock	789	C0243026	Sepsis (Systemic infection)	Disease or Syndrome
Severe Spasticity	861	C0026838	Spasticity (Muscle Spasticity)	Sign or Symptom
Severe Spasticity	789	C0443306	Spastic	Sign or Symptom
Severe Systemic Sclerosis	901	C0036421	Sclerosis, Systemic (Systemic Scleroderma)	Disease or Syndrome
Severe Thalassemia	861	C0039730	Thalassaemia (Thalassemia)	Disease or Syndrome
Severe Thrombocytopenia	861	C0040034	Thrombocytopenia	Disease or Syndrome
Severe to Morbid Obesity and Type 2 Diabetes	1000	C0028756	Obesity, Morbid	Disease or Syndrome
Severe to Morbid Obesity and Type 2 Diabetes	827	C0011847	Diabetes	Disease or Syndrome
Severe to Morbid Obesity and Type 2 Diabetes	1000	C0011860	Type 2 Diabetes (Diabetes Mellitus, Non-Insulin-Dependent)	Disease or Syndrome
Severe to Morbid Obesity and Type 2 Diabetes	861	C0028754	Obesity	Disease or Syndrome
Severe to Morbid Obesity and Type 2 Diabetes	827	C0011849	Diabetes (Diabetes Mellitus)	Disease or Syndrome
Severe Ulcerative Colitis	827	C0009319	Colitis	Disease or Syndrome
Severe Ulcerative Colitis	901	C0009324	Ulcerative Colitis	Disease or Syndrome
Severe, Acute Pain in a Pre-hospital Setting	901	C0184567	Acute Pain (Acute onset pain)	Sign or Symptom
Severe, Acute Pain in a Pre-hospital Setting	827	C0030193	Pain	Sign or Symptom
Severe, Acute Pain in a Pre-hospital Setting	913	C0278140	Severe pain	Sign or Symptom
Severe, Acute Pain in a Pre-hospital Setting	627	C3160858	PRES (Posterior reversible encephalopathy syndrome)	Disease or Syndrome
Severe, Chronic Pain	901	C0150055	Chronic pain	Disease or Syndrome
Severe, Chronic Pain	913	C0278140	Severe pain	Sign or Symptom
Severe, Chronic Pain	827	C0030193	Pain	Sign or Symptom
Severe, Profound Deafness	827	C0581883	Deafness (Complete Hearing Loss)	Disease or Syndrome
Severe, Profound Deafness	827	C0011053	Deafness	Disease or Syndrome
Severe, Refractory Asthma	827	C0004096	Asthma	Disease or Syndrome
Severely Obese Patients	660	C0028754	Obese (Obesity)	Disease or Syndrome
Severity of Atopic Dermatitis	1000	C0011615	Dermatitis, Atopic	Disease or Syndrome
Severity of Atopic Dermatitis	861	C0011603	Dermatitis	Disease or Syndrome
Sevoflurane Consumption	861	C0220811	CONSUMPTION (Consumption-archaic term for TB)	Disease or Syndrome
Sex Chromosome Aberrations	901	C0008626	Chromosome Aberrations (Congenital chromosomal disease)	Disease or Syndrome
Sex Disorders	947	C0549622	Sexual disorder (Sexual Dysfunction)	Disease or Syndrome
Sex Disorders	861	C0012634	Disorders (Disease)	Disease or Syndrome
Sex Disorders	1000	C0036877	sex disorders (organic sexual dysfunction)	Disease or Syndrome
Sexual Arousal Disorder	827	C0012634	Disorder (Disease)	Disease or Syndrome
Sexual Arousal Disorder	913	C0549622	Sexual disorder (Sexual Dysfunction)	Disease or Syndrome
Sexual Dysfunction	1000	C0036877	sexual dysfunction (organic sexual dysfunction)	Disease or Syndrome
Sexual Dysfunction	1000	C0549622	Sexual Dysfunction	Disease or Syndrome
Sexual Dysfunction and Infertility	1000	C0036877	sexual dysfunction (organic sexual dysfunction)	Disease or Syndrome
Sexual Dysfunction and Infertility	1000	C0021359	Infertility	Disease or Syndrome
Sexual Dysfunction and Infertility	1000	C0549622	Sexual Dysfunction	Disease or Syndrome
Sexual Dysfunction, Physiological	1000	C0036877	sexual dysfunction (organic sexual dysfunction)	Disease or Syndrome
Sexual Dysfunction, Physiological	1000	C0549622	Sexual Dysfunction	Disease or Syndrome
Sexual Dysfunction, Psychological	1000	C0036877	sexual dysfunction (organic sexual dysfunction)	Disease or Syndrome
Sexual Dysfunction, Psychological	1000	C0549622	Sexual Dysfunction	Disease or Syndrome
Sexual Dysfunctions in Men With Benign Prostatic Hyperplasia	1000	C2937421	benign prostatic hyperplasia (Prostatic Hyperplasia)	Disease or Syndrome
Sexual Dysfunctions in Men With Benign Prostatic Hyperplasia	1000	C1704272	Benign Prostatic Hyperplasia	Neoplastic Process
Sexual Dysfunctions in Men With Benign Prostatic Hyperplasia	966	C0036877	sexual dysfunction (organic sexual dysfunction)	Disease or Syndrome
Sexual Dysfunctions in Men With Benign Prostatic Hyperplasia	966	C0549622	Sexual Dysfunction	Disease or Syndrome
Sexual Dysfunctions in Men With Benign Prostatic Hyperplasia	755	C0242453	Prostatism	Sign or Symptom
Sexual Dysfunctions, Psychological	966	C0036877	sexual dysfunction (organic sexual dysfunction)	Disease or Syndrome
Sexual Dysfunctions, Psychological	966	C0549622	Sexual Dysfunction	Disease or Syndrome
Sexual Precocity	1000	C0271527	Sexual precocity (Cryptogenic sexual precocity)	Disease or Syndrome
Sexual Precocity	1000	C0034013	Sexual precocity (Precocious Puberty)	Disease or Syndrome
Sexual Problems	983	C0856619	sexual problem	Disease or Syndrome
Sexual Risk Behavior for HIV-Infection	861	C0021311	Infection	Disease or Syndrome
Sexual Risk Behavior for HIV-Infection	1000	C0019693	HIV infection (HIV Infections)	Disease or Syndrome
Sexually Transmitted Disease	1000	C0036916	Sexually transmitted disease (Sexually Transmitted Diseases)	Disease or Syndrome
Sexually Transmitted Disease	827	C0012634	Disease	Disease or Syndrome
Sexually Transmitted Diseases	1000	C0036916	Sexually Transmitted Diseases	Disease or Syndrome
Sexually Transmitted Diseases	827	C0012634	Diseases (Disease)	Disease or Syndrome
Sexually Transmitted Diseases, Viral	1000	C0036916	Sexually Transmitted Diseases	Disease or Syndrome
Sexually Transmitted Diseases, Viral	827	C0012634	Diseases (Disease)	Disease or Syndrome
Sexually Transmitted Infection	827	C0021311	Infection	Disease or Syndrome
Sexually Transmitted Infection	1000	C0036916	Sexually Transmitted Infection (Sexually Transmitted Diseases)	Disease or Syndrome
